#taxid	count	name
6596	1	"Mercenaria mercenaria"
181631	1	"Cyanoderma ruficeps"
4480	4342	"Aegilops"
37682	3	"Aegilops tauschii"
33548	1	"Colobus guereza"
913645	1	"Enchytraeus crypticus"
481883	1	"Eublepharis macularius"
435792	7	"Leymus innovatus"
109271	1	"Osteoglossum bicirrhosum"
466241	1	"Pimelodus maculatus"
3504	1	"Betula"
1288821	1	"Hordeum vulgare var. distichon"
83309	1	"Oryza longiglumis"
256650	1	"Tetropium fuscum"
1351675	1	"Prunella strophiata"
2509291	2	"Gryllus longicercus"
89055	1	"Thermobia domestica"
452569	1	"Eucalyptus cladocalyx"
478132	1	"Empoasca decipiens"
3078114	1	"Neoaves"
2788	1	"Pyropia yezoensis"
29695	1	"Phragmites australis"
88544	1	"Halictini"
76502	1	"Schoenoplectus lacustris"
49168	1	"Rhododendron molle"
3043723	1	"Paralinhomoeus sp. GSCO2_6"
500645	1	"Tetragnatha montana"
4491	1977	"Aegilops umbellulata"
3749	2	"Malus"
2492375	1	"Omphaloscelis lunosa"
99437	1	"Lumnitzera littorea"
104005	5	"Melocanna baccifera"
357811	1	"Apogon imberbis"
934945	1	"Lampropteryx suffumata"
321803	1	"Nemopilema nomurai"
27406	1	"Cherax quadricarinatus"
264074	1	"Cladonema radiatum"
100952	1	"Cottus gobio"
2763534	1	"Carex subgen. Vignea"
2592077	15	"Hierochloe odorata"
1157628	2	"Cricetomys ansorgei"
6072	7	"Eumetazoa"
3728	1	"Sinapis alba"
1853061	1	"Pyrocephalus nanus"
862507	1	"Mus"
8481	1	"Graptemys geographica"
591218	2	"Indocalamus tessellatus"
4101	1	"Petunia"
1101029	1	"Pandemis corylana"
4587	15	"Thinopyrum"
9514	1	"Cebus albifrons"
330961	2	"Pardosa pseudoannulata"
57932	1	"Comarum palustre"
911341	1	"Heliantheae alliance"
8351	1	"Discoglossus pictus"
1132040	1	"Agriotes mancus"
52159	2	"Poa pratensis subsp. angustifolia"
129741	4	"Elymus caninus"
147366	5	"Bambusoideae"
6656	1	"Arthropoda"
1115630	1	"Brachymystax lenok tsinlingensis"
159962	1	"Saxifraga hirculus"
42163	1	"Podarcis"
2505931	1	"Margaritifera margaritifera"
181461	1	"Caranx melampygus"
4509	3	"Dactylis glomerata"
114194	14	"Alopecurus aequalis"
585813	1	"Iris foetidissima"
6446	1	"Sipunculus nudus"
3893	1	"Pueraria montana var. lobata"
130022	1	"Dolichoris vasculosae"
91835	2	"fabids"
1648004	1	"Bambusinae"
55704	1	"Acanthochitona fascicularis"
109475	1	"Suncus etruscus"
44386	2	"Haemaphysalis longicornis"
9526	1	"Catarrhini"
7098	1	"Malacosoma neustria"
49840	2	"Sophora flavescens"
29667	17	"Bromus tectorum"
32400	1	"Encarsia formosa"
110451	1	"Oryza schlechteri"
229290	1	"Anoplopoma fimbria"
290404	1	"Eupeodes corollae"
29960	1	"Penaeus indicus"
589344	1	"Pyrenomonadaceae"
140803	1	"Carex diandra"
9608	1	"Canidae"
2882611	1	"Phaonia tiefii"
31210	2	"Acanthosepion esculentum"
7955	1	"Danio rerio"
13085	1	"Heteronotia binoei"
105906	1	"Succisa pratensis"
1249140	1	"Festuca trachyphylla"
3094834	3	"Oryza meyeriana var. indandamanica"
3633	1	"Gossypium"
407821	1	"Stegodyphus mimosarum"
260995	1	"Geotrypetes seraphini"
171530	1	"Rhinogobio ventralis"
651059	1	"Mechanitis menapis"
89674	1	"Lolium rigidum"
1816318	1	"Laudakia wui"
742503	1	"Tokudaia muenninki"
3275449	1	"Haplosyllis sp. GHC0000112"
366594	7	"Avena atlantica"
7100	1	"Noctuidae"
9305	1	"Sarcophilus harrisii"
9190	1	"Agelaius"
376113	4	"Hordelymus europaeus"
57336	1	"Flexamia atlantica"
1578718	1	"Elymus sajanensis"
204263	1	"Eira barbara"
69644	1	"Tetradacus"
76306	1	"Mimosa pudica"
494438	1	"Meconema thalassinum"
121402	1	"Albula glossodonta"
3105834	1	"Koeleria spicata"
758718	1	"Acleris umbrana"
8476	1	"Emydidae"
183150	1	"Oryzias sinensis"
27675	1	"Choloepus didactylus"
123683	1	"Oryzias javanicus"
7935	1	"Anguilla"
63058	1	"Ulmus parvifolia"
1776468	1	"Linnaemya tessellans"
8910	1	"Laridae"
231681	1	"Equisetum pratense"
903552	1	"Umbilicaria grisea"
211834	1	"Lutjanus argentimaculatus"
347394	1	"Lordithon lunulatus"
38413	1	"Eragrostis"
27621	1	"Molossus"
31243	1	"Globodera rostochiensis"
36184	1	"Thymallus"
6956	1	"Dermatophagoides pteronyssinus"
110202	1	"Cerastes gasperettii"
31175	1	"Diadema setosum"
261773	1	"Omalotheca supina"
4500	6	"Avena longiglumis"
55311	1	"Aponogeton distachyos"
3483	1	"Cannabis sativa"
538890	1	"Coccus hesperidum"
281872	2	"Acaena ovalifolia"
220900	1	"Ctenoides ales"
241838	1	"Excoecaria agallocha"
337392	1	"Erodium moschatum"
1395515	1	"Drosophila kurseongensis"
126914	1	"Suaeda salsa"
2926464	1	"Cantharellus purpuraceus"
91888	1	"lamiids"
764772	1	"Poa pratensis subsp. irrigata"
4550	2	"Secale cereale"
151847	1	"Malpighia emarginata"
22774	1	"Berberis"
78536	2194	"Euphyllophyta"
33340	5	"Neoptera"
259920	1	"Rhincodon typus"
4543	1	"Cenchrus americanus"
504342	1	"Stephanocoenia intersepta"
214431	1	"Scortum barcoo"
3041818	1	"Taenioides sp. WSHXM2023"
92927	1	"Sarcandra glabra"
7932	1	"Megalops atlanticus"
41768	1	"Ranunculales"
188929	1	"Channa asiatica"
147370	3	"PACMAD clade"
4589	61	"Thinopyrum obtusiflorum"
37578	1	"Morus bassanus"
3817	1	"Arachis"
190385	1	"Uranotaenia lowii"
44534	1	"Cellia"
8345	1	"Bombina bombina"
82593	1	"Geometridae"
316456	1	"Anabrus simplex"
147429	2	"Andropogoneae"
28640	1	"Tetraponera rufonigra"
5340	1	"Agaricus"
1648015	1	"Guaduinae"
27405	1	"Penaeus japonicus"
272863	1	"Asparagus setaceus"
3045898	2	"Sambus kanssuensis"
4583	2	"Cenchrus"
66017	1	"Digitaria"
4545	21	"Poa pratensis"
4504	2	"Coix"
9776	1	"Trichechus"
146534	4	"Avena eriantha"
44588	1	"Panax quinquefolius"
6237	1	"Caenorhabditis"
980011	1	"Bidens hawaiensis"
30214	1	"Vespula squamosa"
164660	1	"Myotis lucifugus carissima"
231718	3	"Triticum aestivum subsp. tibeticum"
15492	29	"Elymus"
1053350	1	"Fumaria muralis"
716546	1	"leotiomyceta"
2890055	1	"Androsace saussurei"
197161	2	"Ischnura elegans"
1385376	1	"Salpingotus crassicauda"
2909684	1	"Dipteris shenzhenensis"
4544	14	"Poa"
59482	1	"Saccopteryx bilineata"
4520	3	"Lolium"
147376	2	"Bambuseae"
29674	1	"Eleusine indica"
88731	4	"Pinus tabuliformis"
436910	1	"Eucryptorrhynchus brandti"
58933	1	"Triticum spelta"
2862204	1	"Hibiscus tridactylites"
10093	1	"Mus pahari"
796727	1	"Elaeagnus macrophylla"
4501	15	"Bromus"
315349	1	"Solanum sitiens"
79674	1	"Macrobrachium rosenbergii"
143630	1	"Paroedura picta"
58627	1	"Debaryomyces fabryi"
1262659	1	"Eragrostis nindensis"
7654	1	"Lytechinus variegatus"
52236	1	"Champsocephalus"
99300	2	"Rehmannia glutinosa"
109671	1	"Physella acuta"
220462	2	"Leymus arenarius"
941989	1	"Ampedus sanguinolentus"
483875	1	"Oxytropis ochrocephala"
1678845	2	"Anthurium amnicola"
58220	1	"Decapterus maruadsi"
1462606	1	"Glycine subgen. Soja"
3527	1	"Phytolacca americana"
6112	1	"Anthopleura xanthogrammica"
1780129	1	"Monarcha castaneiventris obscurior"
102981	1	"Neoaliturus tenellus"
1698855	1	"Eratigena atrica"
320637	1	"Rhynchocyon petersi"
436207	1	"Arnica montana"
1918084	1	"Germaria angustata"
37722	1	"Bromus diandrus"
2320716	1	"Platanthera zijinensis"
33511	1	"Deuterostomia"
128204	1	"Sphagnum girgensohnii"
210640	1	"Moxostoma hubbsi"
84832	1	"Molothrus"
77598	1	"Heterohyrax brucei"
3349394	2	"Bathypterois sp. HX-2024g"
985688	1	"Anarhynchus nivosus"
2004850	1	"Neoceratitis asiatica"
1188115	1	"Hesperophylax magnus"
1504853	1	"Nineta flava"
2499258	1	"Alternaria sect. Infectoriae"
156442	1	"Panstrongylus geniculatus"
4153	1	"Craterostigma plantagineum"
112415	1	"Letharia"
9468	1	"Loris tardigradus"
7776	3	"Gnathostomata"
197124	1	"Microcos paniculata"
120091	1	"Centruroides vittatus"
3041213	1	"Taudactylus pleione"
269367	7	"Poa chaixii"
34254	1	"Lithospermum erythrorhizon"
2882903	1	"Suillia affinis"
987424	1	"Eilema sororculum"
356906	1	"Montifringilla adamsi"
6494	1	"Conus textile"
1149709	2	"Arundinarieae"
745661	1	"Festuca vivipara"
32524	4	"Amniota"
267548	1	"Salicornia ramosissima"
29672	1	"Avenella flexuosa"
400838	1	"Pelagia noctiluca"
195138	1	"Veronica scutellata"
240906	8	"Puccinellia tenuiflora"
715724	1	"Galium uliginosum"
8805	1	"Eudromia elegans"
57982	1	"Cetorhinus maximus"
197562	2	"Pancrustacea"
33090	1388	"Viridiplantae"
28909	2	"Cynodon dactylon"
34926	1	"Amblyornis subalaris"
59465	1	"Nyctalus leisleri"
3032291	1	"Lindaspio polybranchiata"
100895	1	"Microtus californicus"
318089	1	"Eupristina koningsbergeri"
414934	1	"Phosphuga atrata"
200361	2677	"Aegilops tauschii subsp. strangulata"
1851468	1	"Vanrija"
50495	1	"Rorippa"
38727	1	"Panicum virgatum"
75366	1	"Sinocyclocheilus grahami"
15452	1	"Deschampsia"
9740	1	"Phocoenidae"
4074	1	"Datura"
51501	2	"Agapanthus africanus"
1857951	1	"Acrobasis suavella"
203270	1	"Berberis aquifolium"
127129	1	"Impatiens noli-tangere"
318546	1	"Pseudocrenilabrinae"
169227	1	"Moehringia trinervia"
988022	1	"Polia bombycina"
1920014	1	"Mysia undata"
34880	1	"Nyctereutes procyonoides"
75743	1	"Scyliorhinus torazame"
9244	1	"Calypte anna"
8439	1	"Ascaphus truei"
10141	1	"Cavia porcellus"
7742	1	"Vertebrata"
437484	1	"Piezodorus guildinii"
1843537	1	"Petrolisthes manimaculis"
329112	1	"Toxorhynchites rutilus septentrionalis"
7815	2	"Prionace glauca"
388437	1	"Cladopsammia gracilis"
208333	1	"Girardinichthys multiradiatus"
618043	1	"Lucanus miwai"
151071	1	"Nephelium lappaceum"
145282	1	"Lithobates clamitans"
443705	1	"Nansenia antarctica"
665498	7	"Stipa capillata"
64144	1	"Anabas testudineus"
2546182	1	"Chelidura thaleri"
144015	1	"Pheidolini"
139772	2	"Triadica sebifera"
93977	1	"Osmanthus fragrans"
8404	1	"Lithobates pipiens"
2302672	1	"Eumandya parva"
8796	1	"Rhea"
72771	1	"Formicini"
2985425	1	"Viola subsect. Rostratae"
30560	1	"Yangochiroptera"
455371	1	"Spatholobus suberectus"
227214	1	"Poa glauca"
9696	1	"Puma concolor"
2940292	1	"Heloderma charlesbogerti"
4486	2388	"Aegilops longissima"
45619	2	"Echinochloa phyllopogon"
2162900	1	"Alexandromys oeconomus"
111401	1	"Chrysolina graminis"
370603	1	"Vesta saturnalis"
10040	1	"Peromyscus"
256425	1	"Lissotriton helveticus"
4536	1	"Oryza nivara"
96803	1	"Armadillidium nasatum"
987932	1	"Euplagia quadripunctaria"
2562068	1	"Bombus cullumanus"
85608	1	"Clemmys guttata"
85604	1	"Amphiesmenoptera"
49786	1	"Sporobolus maritimus"
169500	1	"Coelopa pilipes"
722667	1	"Paradarisa consonaria"
15956	1	"Phleum"
51622	1	"Rhaphigaster nebulosa"
119487	1	"Siniperca"
3225	1	"Ceratodon purpureus"
15371	2	"Bromus inermis"
39325	1	"Kingdonia uniflora"
143539	1	"Correlophus ciliatus"
60590	1	"Pseudarchaster parelii"
2784310	1	"Magallana angulata"
1051066	1	"Doryteuthis opalescens"
74663	1	"Amorphophallus"
570168	1	"Calamagrostis purpurea"
1071398	1	"Brachypodium hybridum"
55135	3	"Pristiophorus japonicus"
2998547	1	"Scellus notatus"
9347	2	"Eutheria"
1203425	1	"Notolabrus celidotus"
337730	1	"Marmotini"
1	2031	"root"
2795671	1	"Bellardia pandia"
103762	1	"Zizania palustris"
1482630	1	"Raddia guianensis"
76029	1	"Fallopia convolvulus"
13551	1	"Gryllodes sigillatus"
1654675	1	"Litoditis marina"
2715158	1	"Diogma glabrata"
129365	1	"Brassica incana"
160571	3	"Neostapfia colusana"
4202	2	"Sambucus nigra"
3238574	1	"Myrmecophilus myrmecophilus"
1903417	1	"Phyllostachys violascens"
2202366	1	"Sinibrama wui"
2080241	1	"Paraescarpia echinospica"
285591	1	"Tinospora crispa"
904458	1	"Petasites albus"
9823	1	"Sus scrofa"
4533	1	"Oryza brachyantha"
4050	1	"Araliaceae"
8296	4	"Ambystoma mexicanum"
203899	1	"Tethysbaena scabra"
368342	3	"Alopecurus magellanicus"
1437010	2	"Boreoeutheria"
147371	1	"Chloridoideae"
40685	1	"Salix"
62018	1	"Hetaerina americana"
51239	4	"Vanilla planifolia"
103999	1	"Codonopsis lanceolata"
1552824	1	"Eucryptorrhynchus scrobiculatus"
8825	2	"Neognathae"
9682	1	"Felis"
414846	1	"Platycheirus albimanus"
402026	1	"Cyanocorax yucatanicus"
316719	1	"Garcia nutans"
7892	2	"Neoceratodus forsteri"
7370	1	"Musca domestica"
261772	1	"Filago pyramidata"
206008	1	"Panicum hallii"
2866284	1	"Bimastos rubidus"
2895740	1	"Morinoia aosen"
33154	7	"Opisthokonta"
2233839	1	"IRL clade"
6114	1	"Calliactis parasitica"
38414	1	"Eragrostis curvula"
1000416	2	"Calamagrostis varia"
234725	1	"Carex microglochin"
29690	1	"Oryza grandiglumis"
110284	2	"Eleocharis dulcis"
4567	2	"Triticum turgidum subsp. durum"
29654	1	"Zannichellia palustris"
7160	1	"Aedes albopictus"
73575	1	"Solanum okadae"
53867	1	"Hylodesmum podocarpum"
43341	1	"Phorcus turbinatus"
29687	2	"Nardus stricta"
6998	1	"Gryllus"
464972	2	"Rhipidocladum racemiflorum"
1980614	1	"Dermolepida albohirtum"
2821262	1	"Mesoamerantha"
186625	1	"Clupeocephala"
356393	1	"Limnoperna fortunei"
190330	1	"Atriplex prostrata"
4564	7582787	"Triticum"
173701	1	"Boswellia sacra"
29729	1	"Gossypium arboreum"
1133088	1	"Conogethes punctiferalis"
15367	2	"Brachypodium"
38716	1	"Olyra latifolia"
3659	1	"Cucumis sativus"
446427	1	"Ceraclea dissimilis"
33317	18	"Protostomia"
256647	1	"Arhopalus rusticus"
56082	1	"Melanerpes"
74787	3	"Tripolium pannonicum"
2759	385764	"Eukaryota"
1870710	1	"Rhodophaea formosa"
4498	17	"Avena sativa"
179887	2	"Bradypodion pumilum"
77745	1	"Chydorus sphaericus"
644536	1	"Holotrichia oblita"
3371016	1	"Cnephaeus nilssonii"
937289	1	"Drosophila incognita"
1446378	1	"Araucariales"
2715443	1	"Hermatobates lingyangjiaoensis"
1437183	189009	"Mesangiospermae"
1988022	1	"Bryoerythrophyllum caledonicum"
70687	1	"Tupaia tana"
350087	1	"Cantharis rufa"
4519	402	"Hordeum marinum"
117571	11	"Euteleostomi"
265994	1	"Monacha cantiana"
948063	1	"Notolepis coatsorum"
94606	1	"Thuidium delicatulum"
203109	1	"Penicillium manginii"
1479653	1	"Duncanopsammia axifuga"
2752315	1	"Aerobryopsis subdivergens"
1437201	18	"Pentapetalae"
1159925	1	"Leiobunum manubriatum"
157640	1	"Spergularia"
52100	1	"Desmognathus fuscus"
65484	1	"Podarcis siculus"
50543	1	"Trichosanthes cucumerina"
160500	1	"Rana muscosa"
169223	1	"Honckenya peploides"
7445	1	"Vespa crabro"
1489388	1	"Euteleosteomorpha"
32523	3	"Tetrapoda"
193519	1	"Hippophae tibetana"
47620	1	"Kokia kauaiensis"
669775	1	"Phleum alpinum"
35493	46	"Streptophyta"
38820	52059	"Poales"
57917	1	"Filipendula ulmaria"
4527	3	"Oryza"
4540	2	"Panicum miliaceum"
6848	1	"Carcinoscorpius rotundicauda"
4568	4298	"Triticum monococcum"
79690	1	"Hypanus sabinus"
4682	2	"Allium sativum"
164727	1	"Gastrolobium villosum"
13894	1	"Cocos nucifera"
8382	1	"Bufonidae"
91836	1	"malvids"
406589	1	"Tenodera sinensis"
6610	2	"Sepia officinalis"
3847	1	"Glycine max"
28792	1	"Cyprinella venusta"
202532	1	"Stegodyphus tentoriicola"
104660	1	"Pinctada maxima"
9632	1	"Ursidae"
103490	1	"Quercus gilva"
9770	1	"Balaenoptera physalus"
3911	1	"Vicia villosa"
869165	1	"Actenicerus siaelandicus"
157394	1	"Lamproptera curius"
1648038	277554	"Triticodae"
38705	1	"Phyllostachys edulis"
464970	1	"Otatea glauca"
2022672	1	"Rhynchospora breviuscula"
10001	1	"Sciurus"
389630	1	"Calamagrostis arundinacea"
1101155	1	"Spatalia argentina"
3469	1	"Papaver somniferum"
4573	2531	"Aegilops speltoides"
158149	1	"Paspalum vaginatum"
48043	1	"Oenanthe"
40247	2	"Dasypyrum villosum"
71275	2	"rosids"
723540	1	"Mobula hypostoma"
157224	1	"Plagiochasma appendiculatum"
2505778	1	"Hipparchia genava"
2804327	1	"Deirochelys reticularia miaria"
48106	2	"Centella asiatica"
90520	1	"Podarcis bocagei"
56535	1	"Pulicaria dysenterica"
46703	1	"Montipora"
3118280	1952	"Amblyopyrum muticum var. muticum"
197043	1	"Homalodisca vitripennis"
121012	2	"Tubiluchus corallicola"
37699	2	"Notoryctes typhlops"
2021473	1	"Metopia argyrocephala"
136217	1	"Curcuma longa"
1652080	7	"Poeae Chloroplast Group 1 (Aveneae type)"
13469	1	"Cupressus sempervirens"
4570	6198	"Triticum timopheevii"
71982	1	"Sanicula europaea"
104431	2	"Obtectomera"
27772	1	"Coregonus"
3398	2506	"Magnoliopsida"
1101163	1	"Teleiodes luculella"
473322	2	"Nannobrachium achirus"
159077	1	"Nerophis ophidion"
113210	1	"Capsicum pubescens"
630343	1	"Helichrysum umbraculigerum"
1310355	1	"Odonestis pruni"
1281420	1	"Pyrausta despicata"
29663	1	"Brachypodium pinnatum"
4588	1492	"Thinopyrum elongatum"
227215	1	"Poa hartzii"
1489878	1	"Gobiiformes"
3814	1	"Papilionoideae"
6463	1	"Patella"
76772	1	"Callospermophilus lateralis"
345913	14	"Polypogon viridis"
64174	1	"Bothrops alternatus"
45839	1	"Solanum rostratum"
1983395	1	"Mobula birostris"
60842	1	"Dynastes"
264402	2	"Capsella grandiflora"
3382577	1	"Prasinohaema aff. flavipes"
387622	1	"Drosophila maculinotata"
61482	1	"Timema podura"
112780	1	"Artemia sinica"
191477	1	"Pelobates fuscus"
36781	1	"Magnaporthiopsis incrustans"
1586972	1	"Agrilus cyanescens"
52830	608	"Elymus sibiricus"
13616	1	"Monodelphis domestica"
34989	1	"Colubroidea"
13151	3	"Micromys minutus"
249021	1	"Doryrhina cyclops"
527893	1	"Uroleucon eupatorifoliae"
50273	1	"Solanum pinnatisectum"
988004	1	"Nycteola revayana"
27687	2	"Erpetoichthys calabaricus"
4522	12	"Lolium perenne"
8787	1	"Casuarius casuarius"
881212	1	"Ctena decussata"
4496	33	"Avena"
457184	1	"Persicaria maculosa"
390368	1	"Pholidichthys leucotaenia"
331302	1	"Melinaea menophilus n. ssp. AW-2005"
34570	1	"Sepioteuthis lessoniana"
430623	2	"Elymus alaskanus"
3037404	1	"Megamerina dolium"
72041	1	"Eumalacostraca"
673927	1	"Hypericum hircinum"
260642	1	"Pangshura tecta"
99038	1	"Glebionis coronaria"
96050	6	"Phalaris arundinacea"
35500	1	"Pecora"
536013	1	"Parthenolecanium corni"
1871986	1	"Parasteatoda lunata"
7750	1	"Lampetra planeri"
397392	1	"Malania oleifera"
379584	1	"Caniformia"
359160	67608	"BOP clade"
147368	627737	"Pooideae"
260675	1	"Citrullus rehmii"
4346	1	"Rhododendron"
122298	1	"Blitum bonus-henricus"
8496	1	"Alligator mississippiensis"
58024	17167	"Spermatophyta"
938226	1	"Craniophora ligustri"
4734	3666	"commelinids"
323898	1	"Guadua angustifolia"
1003001	1	"Agrotera nemoralis"
883867	1	"Matricaria discoidea"
52147	1	"Bromus hordeaceus"
175341	2	"Stegodyphus lineatus"
568970	1	"Poa diaphora"
335776	2	"Bolma rugosa"
6063	1	"Halichondria panicea"
338503	1	"Bonia amplexicaulis"
9676	1	"Hyaenidae"
29677	1	"Lolium giganteum"
2562237	1	"Cladocopium goreaui"
516735	1	"Afrothismia gesnerioides"
9895	1	"Bovidae"
86924	1	"Rhinichthys osculus"
51338	1	"Castor canadensis"
669672	3	"Elymus macrourus"
4485	1779	"Aegilops comosa"
9126	1	"Passeriformes"
55777	20	"Bromus sterilis"
2732419	1	"Polyrhizophydium stewartii"
240869	1	"Bombylius major"
41233	1	"Petrea volubilis"
346999	1	"Senna siamea"
416197	1	"Citrus inodora"
81473	12	"Alopecurus myosuroides"
69427	1	"Albinaria teres"
32201	1	"Carya illinoinensis"
240896	1	"Neurigona quadrifasciata"
6853	1	"Tachypleus tridentatus"
47085	1	"Medicago lupulina"
7072	1	"Tribolium freemani"
106734	1	"Chelonoidis abingdonii"
4577	3	"Zea mays"
6850	1	"Limulus polyphemus"
259893	1	"Artemisia argyi"
229543	1	"Hibiscus cannabinus"
1205942	1	"Ochlerotatus sierrensis"
316510	1	"Schoenoplectus triqueter"
114204	2	"Narthecium ossifragum"
147272	1	"Paspalum notatum"
86092	1	"Melampyrum sylvaticum"
15000	5	"Alisma plantago-aquatica"
161624	1	"Passerculus sandwichensis"
500284	1	"Anthomyza gracilis"
228735	2	"Enchytraeus japonensis"
7213	1	"Ceratitis capitata"
44056	1	"Aureococcus anophagefferens"
1489872	1	"Percomorphaceae"
4214	1	"Ambrosia trifida"
1548725	1	"Serripes groenlandicus"
4679	2	"Allium cepa"
7271	1	"Drosophila nebulosa"
150966	1	"Nepenthes gracilis"
54446	1	"Chamaerops humilis"
669796	2	"Puccinellia phryganodes"
989733	1	"Agapeta zoegana"
32281	1	"Drosophila"
37293	1	"Aotus nancymaae"
4535	1	"Oryza officinalis"
42063	1	"Drosophila ercepeae"
42569	1	"Iris macrosiphon"
9809	1	"Rhinoceros unicornis"
379583	1	"Feliformia"
188568	1	"Aselliscus stoliczkanus"
278654	1	"Zantedeschia hybrid cultivar"
273540	1	"Protea cynaroides"
3972	25	"Viscum album"
2135914	1	"Arachnomyces sp. PD_36"
147428	2	"Paniceae"
112517	1	"Hordeum comosum"
52713	1	"Leymus"
4460	1	"Colocasia esculenta"
32220	1	"Aruncus dioicus"
669682	1	"Epilobium palustre"
1875446	1	"Himalopsyche kuldschensis"
211941	1	"Festuca altaica"
873512	1	"Philereme transversata"
407951	1	"Neofusicoccum"
283872	6	"Avena insularis"
56615	3	"Puccinia graminis f. sp. tritici"
8324	3	"Lissotriton vulgaris"
290657	1	"Hololepta plana"
9394	1	"Tupaia"
3649	1	"Carica papaya"
1302324	1	"Entomobrya proxima"
289064	2	"Poa supina"
224787	1	"Stratiolaelaps scimitus"
242533	1	"Rumex bucephalophorus"
19767	1	"Beta corolliflora"
9263	1	"Metatheria"
37877	1	"Piptochaetium"
56998	1	"Wollemia nobilis"
1648030	22024749	"Triticinae"
387595	3	"Ampelocalamus luodianensis"
129748	2	"Elymus mutabilis"
4483	2923	"Aegilops bicornis"
284366	1	"Oxyria digyna"
3061239	2	"Hsuehochloa calcarea"
15303	2	"Alopecurus"
170820	1	"Hemiscyllium ocellatum"
9123	1	"Gallinula chloropus"
147387	24	"Poeae"
94424	1	"Phacelia tanacetifolia"
27610	1	"Lagenorhynchus albirostris"
33562	1	"Dromiciops gliroides"
188344	1	"Leptosomus discolor"
987929	1	"Eilema caniola"
473459	1	"Gymnothorax reevesii"
32324	1	"mulleri subgroup"
54360	1	"Rallus"
368338	2	"Catabrosa aquatica"
63629	2	"Oryza minuta"
223100	2	"Orobanche coerulescens"
480380	2	"Phymorhynchus buccinoides"
75948	1	"Lactuca saligna"
64456	1	"Morpho helenor"
2969488	1	"Maratus michaelseni"
934814	1	"Ennomos erosarius"
2983910	1	"Thomomys bottae limpiae"
38686	1	"Pharus latifolius"
131221	389	"Streptophytina"
3880	1	"Medicago truncatula"
102804	1	"Asteroideae"
320963	1	"Tetanocera ferruginea"
30331	1	"Bufo gargarizans"
188135	1	"Poeciliopsis turneri"
122625	1	"Blasia pusilla"
627735	2	"Deroplatys truncata"
337677	1	"Cricetidae"
175798	2	"Cranoglanis bouderius"
51117	1	"Millepora"
158456	1	"Betta splendens"
38618	1	"Gymnobelideus leadbeateri"
50390	1	"Diabrotica virgifera virgifera"
1642874	1	"Spodiopogon sagittifolius"
4534	3	"Oryza latifolia"
102876	1	"Eledone cirrhosa"
139605	1	"Prosapia bicincta"
4565	1728172	"Triticum aestivum"
3038095	1	"Thermocollonia jamsteci"
4521	13	"Lolium multiflorum"
147389	6451650	"Triticeae"
1128088	1	"Trididemnum miniatum"
38709	1	"Aristida"
10058	1	"Microtus pennsylvanicus"
95593	1	"Ornithoptera priamus"
59729	1	"Taeniopygia guttata"
91951	1	"Catharus ustulatus"
220392	1	"Bathymodiolus septemdierum"
34620	1	"Dermacentor andersoni"
488216	1	"Reynoutria japonica"
1870252	1	"Polymixis lichenea"
352855	2	"Ornithomya fringillina"
243486	2	"Salticus scenicus"
109287	1	"Hippocampus mohnikei"
59861	1	"Coregonus clupeaformis"
33213	71	"Bilateria"
483417	1	"Eriphia verrucosa"
38626	2	"Phascolarctos cinereus"
684837	1	"Puccinia polysora"
4572	8	"Triticum urartu"
997535	1	"Egira conspicillaris"
85692	22	"Triticum dicoccoides"
160569	3	"Tuctoria greenei"
290155	1	"Bactericera cockerelli"
63975	1	"Actias isabellae"
7047	1	"Sitophilus zeamais"
172845	1	"Caerostris"
4593	3	"Agropyron cristatum"
74628	1	"Rosa persica"
4109	1	"Solanum commersonii"
59308	1	"Chymomyza procnemis"
1210413	1	"Sthenelais limicola"
7888	5	"Protopterus annectens"
2867263	1	"Tipula unca"
9103	1	"Meleagris gallopavo"
9981	1	"Lepus capensis"
314145	1	"Laurasiatheria"
425487	6	"Triticum aestivum subsp. yunnanense"
76438	1	"Eriophorum vaginatum"
91518	1	"Microstegium vimineum"
1415580	1	"Microcaecilia unicolor"
9374	1	"Talpa"
2487007	1	"Branchipolynoe longqiensis"
3899	1	"Trifolium repens"
7507	1	"Mantis religiosa"
31919	1	"Numenius arquata"
128161	2	"Teleogryllus oceanicus"
577144	1	"Salpingus planirostris"
670352	1	"Pluvialis apricaria"
4512	53	"Hordeum"
44680	1	"Magicicada septendecula"
71274	2	"asterids"
423282	1	"Cassiope tetragona"
872969	1	"Cathorops wayuu"
13648	1	"Puccinellia"
2962468	2	"Monoplex corrugatus"
290105	2	"Cheilinus chlorourus"
